t,NORMALIZED_EV,EXPECTED_GDP_INDEX,EXPECTED_UNEMPLOYMENT_INDEX,EXPECTED_INFLATION_INDEX,EXPECTED_MONTHLY_INF_INDEX,fed_market_start,fed_market_end,gdp_market_start,gdp_market_end,labor_market_start,labor_market_end,inf_yearly_market_start,inf_yearly_market_end,inf_monthly_market_start,inf_monthly_market_end
2025-01-01 00:00:00+00:00,,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 01:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 02:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 03:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 04:00:00+00:00,0.0068738489006285874,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 05:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 06:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 07:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 08:00:00+00:00,-0.0068738489006285874,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 09:00:00+00:00,0.035363270934165136,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 10:00:00+00:00,0.011811250265505002,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 11:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 12:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 13:00:00+00:00,0.023657845918338083,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 14:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 15:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 16:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 17:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 18:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 19:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 20:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 21:00:00+00:00,0.055889893037424976,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 22:00:00+00:00,0.01209258776195643,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-01 23:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 00:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 01:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 02:00:00+00:00,0.07214850116226756,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 03:00:00+00:00,0.036926341180926414,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 04:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 05:00:00+00:00,0.00880324490740314,,,,,0,0,0,0,0,0,0,0,0,0
2025-01-02 06:00:00+00:00,0.0,,,,,0,0,0,0,0,0,0,0,0,0
